일자,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,,일자,,일자,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,1월,1월,2월,2월,일자,,,,
1,일,삼일절,수,학교운영위원회,금,노동절,월,,수,"기말고사(1,2,3)",화,1,,1,토,,화,,목,,일,,화,전환기 프로그램(3),금,신정,월,"개학식
교내 학력진단평가",1,,,,
2,월,대체공휴일,목,학부모간담회(2),토,,화,,목,"기말고사(1,2,3)
교직원 CPR교육",수,2,,2,일,,수,"대수능모의평가(3)
학력평가(1,2)",금,"중간고사(1,2)
학기말고사(3)",월,"봉사 2시간
학부모상담주간(~6)",수,전환기 프로그램(3),토,,화,,2,,,,
3,화,"입학식(1), 개학식(2,3)",금,동아리활동,일,,수,지방선거,금,"기말고사(1,2,3)",목,3,,3,월,,목,,토,개천절,화,,목,전환기 프로그램(3),일,,수,,3,,,,
4,수,,토,,월,"재량휴업일(1,2,3)      교생실습(~29)",목,"대수능모의평가(3)
학력평가(1,2)",토,,금,4,,4,화,,금,동아리활동,일,,수,수업공개의 날(~5),금,"전환기 프로그램(3)
6차 교과협의회",월,방학식,목,,4,,,,
5,목,,일,,화,어린이날,금,,일,,토,5,,5,수,,토,입학설명회,월,대체공휴일,목,,토,,화,방과후 4기(~1/20),금,"진급사정회(1,2)",5,,,,
6,금,학급임원선거,월,"기후위기교육
(봉사 2시간)",수,"교생실습(~29)
화재대피훈련(1,2,3)",토,현충일,월,"학생 CPR교육 
3~4교시(1학년)",일,6,,6,목,,일,,화,"중간고사(1,2)
학기말고사(3)",금,"봉사 2시간
5차 교과협의회",일,,수,,토,설날연휴,6,,,,
7,토,,화,학부모간담회(1),목,학력평가(3),일,,화,"진학설명회(1,2)",월,7,,7,금,,월,,수,"중간고사(1,2)
학기말고사(3)",토,입학설명회,월,전환기 프로그램(3),목,,일,설날 ,7,,,,
8,일,,수,,금,동아리활동,월,,수,학력평가(3),화,8,,8,토,,화,,목,"중간고사(1,2)
학기말고사(3)",일,,화,"기말고사(1,2)",금,,월,설날연휴,8,,,,
9,월,"성폭력예방교육(1,2,3)",목,,토,,화,,목,"학생회장선거
결핵검진(2,3학년)",수,9,,9,일,,수,,금,한글날,월,학급회의,수,"기말고사(1,2)",토,,화,대체공휴일,9,,,,
10,화,,금,"학교폭력예방교육(1,2,3)",일,,수,,금,봉사 2시간,목,10,,10,월,,목,,토,,화,,목,"기말고사(1,2)",일,,수,,10,,,,
11,수,,토,,월,"방과후(1) 1기  (~6/15)      헌혈봉사
학급회의",목,,토,,금,11,,11,화,,금,동아리활동,일,,수,,금,"기말고사(1,2)
수능성적표통지(3)
전 직원 연수",월,,목,,11,,,,
12,목,,일,,화,,금,"동아리활동
부장기획연수(~13)",일,,토,12,,12,수,,토,,월,"약물오남용예방교육
(1,2,3)",목,,토,,화,,금,"종업식(1,2)
졸업식(3)",12,,,,
13,금,"동아리부서편성
1차 교과협의회",월,2차 교과협의회,수,,토,,월,"학술발표회(1~4)
봉사 2시간",일,13,,13,목,,일,,화,,금,동아리활동,일,,수,,토,,13,,,,
14,토,,화,,목,,일,,화,세계문화축제,월,14,,14,금,,월,"헌혈봉사
4차 교과협의회",수,진로탐색교실,토,,월,,목,,일,,14,,,,
15,일,,수,,금,"흡연예방교육(1,2,3)",월,3차 교과협의회,수,"학급임원선거
진학설명회(3)",화,15,,15,토,광복절,화,,목,개교기념일 행사,일,,화,,금,,월,,15,,,,
16,월,"상견례, 임명장수여식
소변검사(2,3학년)
방과후 1기(~6/15)",목,,토,입학설명회,화,,목,방학식,수,16,,16,일,,수,,금,"재량휴업일(1,2,3)",월,"마약류예방교육(1,2,3)",수,,토,,화,,16,,,,
17,화,학교설명회(1),금,,일,,수,중학생 진로탐색교실,금,제헌절,목,17,,17,월,대체공휴일,목,,토,,화,,목,,일,,수,,17,,,,
18,수,학교설명회(2),토,,월,봉사 2시간,목,,토,,금,18,,18,화,"개학식
교내학력진단평가",금,학급회의,일,,수,,금,고사장 설치,월,,목,,18,,,,
19,목,진학설명회(3),일,,화,,금,동아리활동,일,,토,19,,19,수,,토,,월,,목,"대학수학능력시험(3)
재량휴업일(1,2,3)",토,,화,,금,,19,,,,
20,금,"학급회의
리더십캠프(교내)",월,,수,건강검진(1학년),토,,월,"방과후 2기
(~8/4, 12일)",일,20,,20,목,,일,,화,"학력평가(1,2,3)",금,"재량휴업일(1,2,3)",일,,수,,토,,20,,,,
21,토,,화,,목,,일,,화,,월,21,,21,금,동아리활동,월,,수,,토,,월,"신입생선발전형일
재량휴업일(1,2,3)",목,,일,,21,,,,
22,일,,수,,금,"명덕올림픽(1,2)
졸업앨범촬영(3)",월,, ,,화,22,,22,토,,화,,목,,일,,화,,금,,월,신입생OT,22,,,,
23,월,"약물오남용 예방교육(1,2,3)",목,,토,,화,,목,,수,23,,23,일,,수,,금,"소규모테마여행 안전교육연수(2)
학급회의(1,3)",월,봉사활동 소감문 작성,수,,토,,화,신학년집중준비기간,23,,,,
24,화,"학력평가(1,2,3)",금,,일,부처님오신날,수,,금,,목,24,,24,월,"학부모간담회(1)
학급회의",목,추석연휴,토,,화,,목,,일,,수,신학년집중준비기간,24,,,,
25,수,,토,,월,대체공휴일,목,,토,,금,25,,25,화,학부모간담회(2),금,추석 ,일,,수,,금,성탄절,월,,목,신학년집중준비기간,25,,,,
26,목,,일,,화,학부모상담주간(~29),금,"가정폭력아동학대예방교육(1,2,3)",일,,토,26,,26,수,중학생진로탐색교실,토,추석연휴,월,"소규모테마여행 안전교육연수(1학년등교)
소규모테마여행(2)",목,,토,,화,,금,,26,,,,
27,금,동아리활동,월,"중간고사(1,2,3)",수,수업공개의 날,토,,월,,일,27,,27,목,,일,,화,"소규모테마여행(1,2)",금,동아리 소감문 작성,일,,수,,토,,27,,,,
28,토,,화,"중간고사(1,2,3)",목,교생대표수업,일,,화,,월,28,,28,금,"리더십캠프(1,2)",월,,수,"소규모테마여행(1,2)",토,,월,"졸업사정회
교내전시회(~31)",목,,일,,28,,,,
29,일,,수,"중간고사(1,2,3)",금,동아리활동,월,,수,,화,29,,29,토,,화,,목,"소규모테마여행(1,2)",일,,화,,금,,,,29,,,,
30,월,"봉사 교육(7~8교시)
졸업앨범촬영(실내)",목,"중간고사(1,2,3)",토,,화,"기말고사(1,2,3)",목,,수,30,,30,일,,수,,금,"재량휴업일(1,2)",월,전환기 프로그램(3),수,,토,,,,30,,,,
31,화,,,,일,,,,금,,목,31,,31,월,"흡연예방교육(2학년)
방과후 3기(~11/23)",,,토,,,,목,"동아리발표회(1~4)
봉사 2시간(5~6)",일,,,,31,,,,
수업일(1학년),,21,,22,,18,,21,,12,,,,수업일(1학년),,10,,20,,18,,19,,20,,1,,8,,,,,
수업일(2학년),,21,,22,,18,,21,,12,,,,수업일(2학년),,10,,20,,18,,19,,20,,1,,8,,,,,
수업일(3학년),,21,,22,,18,,21,,12,,,,수업일(3학년),,10,,20,,19,,19,,20,,1,,8,,,,,
학기누계(1학년),,21,,43,,61,,82,,94,,,,학기누계(1학년),,10,,30,,48,,67,,87,,88,,96,,,,,
학기누계(2학년),,21,,43,,61,,82,,94,,,,학기누계(2학년),,10,,30,,48,,67,,87,,88,,96,,,,,
학기누계(3학년),,21,,43,,61,,82,,94,,"1,2학년",3학년,학기누계(3학년),,10,,30,,49,,68,,88,,89,,97,,"1,2학년",3학년,학년,수업일수
"1
2
3
학
년",월,4,,4,,2,,5,,2,,17,17,"1
2
3
학
년",월,2,,4,,3,3,5,5,3,,1,,1,1 ,19 ,19 ,1학년,190
,화,5,,4,,3,,5,,2,,19,19,,화,2,,5,,4,4,4,4,4,,,,1,1 ,20 ,20 ,2학년,190
,수,4,,5,,4,,3,,3,,19,19,,수,2,,5,,4,4,4,4,5,,,,2,2 ,22 ,22 ,3학년,191
,목,4,,5,,4,,4,,3,,20,20,,목,2,,3,,5,5,3,3,5,,,,2,2 ,20 ,20 ,,
,금,4,,4,,5,5,4,,2,,19,19,,금,2,,3,,2,3,3,3,3,,,,2,2 ,15 ,16 ,,
,합계,21,,22,,18,,21,,12,,94,94,,합계,10,,20,,18,19,19,19,20,,1,,8,8 ,96 ,97 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
